policy,workload_id,execution_order,rank_used,execution_start_seconds,completion_seconds,jct_seconds,calibration_scale,evidence_status,assumed_job_time_factor
kubernetes-default,heavy-047-6e5aa39a,48,0.522791937,40.173612,1130.652148,1130.652148,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-048-bf8f5880,49,0.748720315,41.02837,484.740815,484.740815,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-049-c04501be,50,0.349747603,41.883128,1275.820904,1275.820904,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-050-dd564045,51,0.450626314,42.737886,1173.170839,1173.170839,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-051-d32f68e1,52,0.526119817,43.592643,1127.969914,1127.969914,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-052-f24dbad2,53,0.573971961,44.447401,1125.016775,1125.016775,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-053-1f5ea152,54,0.393456849,45.302159,1231.658974,1231.658974,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-054-8d32225f,55,0.589256099,46.156916,1060.46252,1060.46252,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-055-45dcbcdf,56,0.44718378,47.011674,1058.286566,1058.286566,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-056-3ce5c058,57,0.545116821,47.866432,1091.100942,1091.100942,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-057-9abd5dfd,58,0.506898474,48.72119,1162.442455,1162.442455,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-058-bcacae46,59,0.494351726,49.575947,1199.8514,1199.8514,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-059-31d6699d,60,0.550669607,50.430705,1068.962423,1068.962423,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-060-0b6542b3,61,0.663811366,51.285463,792.636489,792.636489,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-061-fecc2ff9,62,0.568642513,52.14022,1172.320382,1172.320382,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-062-43dd4de0,63,0.174434291,52.994978,1301.769996,1301.769996,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-063-653e17ff,64,0.513896012,53.849736,1152.720335,1152.720335,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-064-333342bd,65,0.290922962,54.704493,1280.411829,1280.411829,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-065-360e09f7,66,0.657089653,55.559251,940.073912,940.073912,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-066-0d6a0878,67,0.673718239,56.414009,775.925941,775.925941,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-067-d32a0622,68,0.557592196,57.268767,1201.235795,1201.235795,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-068-b48baf41,69,0.24215766,58.123524,1299.50128,1299.50128,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-069-b79dca0b,70,0.292905382,58.978282,1283.151959,1283.151959,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-070-53ccd3f6,71,0.455432281,59.83304,1128.658713,1128.658713,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-071-bcd564aa,72,0.307910512,60.687797,1286.39451,1286.39451,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-072-bb1d3a18,73,0.361918474,61.542555,1279.370598,1279.370598,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-073-7734485a,74,0.538223905,62.397313,998.535457,998.535457,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-074-ed176958,75,0.507169793,63.252071,1250.751324,1250.751324,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-075-b03aebc1,76,0.290974684,64.106828,1292.986024,1292.986024,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-076-b2c8f63b,77,0.633342441,64.961586,1003.203748,1003.203748,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-077-26d7cfc9,78,0.751379261,65.816344,593.910612,593.910612,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-078-1496043e,79,0.462957958,66.671101,1153.203042,1153.203042,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-079-718e54c7,80,0.465252756,67.525859,1187.087929,1187.087929,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-080-a64424af,81,0.1099778,68.380617,1304.510861,1304.510861,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-081-7916c35c,82,0.552796052,69.235375,932.472568,932.472568,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-082-92d9fc3a,83,0.597243905,70.090132,1075.430279,1075.430279,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-083-3e740750,84,0.519733881,70.94489,1143.478952,1143.478952,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-084-c80db7b3,85,0.473827494,71.799648,1124.941456,1124.941456,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-085-e542191f,86,0.390949842,72.654405,1230.041461,1230.041461,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-086-c9661d5b,87,0.549388618,73.509163,1038.608875,1038.608875,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-087-4a3ffd66,88,0.626936364,74.363921,1183.831438,1183.831438,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-088-4f8df952,89,0.356392544,75.218679,1259.945967,1259.945967,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-089-1c4c66ce,90,0.596427186,76.073436,961.712352,961.712352,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-090-70d9c26f,91,0.369793262,76.928194,1261.078739,1261.078739,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-091-8da8381a,92,0.623526159,77.782952,756.440195,756.440195,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-092-60e427bf,93,0.601436575,78.637709,965.384552,965.384552,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-093-9b7261fa,94,0.80605576,79.577943,621.631113,621.631113,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-094-a756609d,95,0.638608859,80.432701,810.905162,810.905162,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-095-506191fc,96,0.732883203,81.287458,705.091705,705.091705,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-096-46d2f7e6,97,0.583257592,82.142216,1138.2647,1138.2647,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-097-4affd5bf,98,0.28949557,82.996974,1300.341631,1300.341631,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-098-c87c5992,99,0.492851557,83.851731,1184.739099,1184.739099,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-099-b2d5c0a9,100,0.629747984,84.706489,957.221886,957.221886,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-100-28fff950,101,0.938308921,85.561247,459.745739,459.745739,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-101-b85ee59a,102,0.684729907,86.416005,882.070565,882.070565,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-102-5366e38e,103,0.216784258,87.270762,1298.130696,1298.130696,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-103-61e25702,104,0.538384243,88.12552,1075.288844,1075.288844,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-104-47179202,105,0.775790991,88.980278,639.155287,639.155287,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-105-e968bcda,106,0.415718461,89.835035,1259.246906,1259.246906,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-106-dfb5197d,107,0.305031426,90.689793,1293.013662,1293.013662,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-107-b44a1c3b,108,0.729511012,91.544551,747.02845,747.02845,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-108-bd59072b,109,0.432253178,92.399309,1244.456665,1244.456665,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-109-dcd7ef90,110,0.269558252,93.254066,1295.64357,1295.64357,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-110-48e6e0d2,111,0.497061874,94.108824,1204.197992,1204.197992,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-111-d5a4a305,112,0.460711711,94.963582,1247.626024,1247.626024,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-112-89e36742,113,0.552587517,95.818339,905.98048,905.98048,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-113-2735b5df,114,0.553749577,96.673097,993.549897,993.549897,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-114-e461f442,115,0.683212835,97.527855,774.613443,774.613443,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-115-0a7c27fd,116,0.798665635,98.382613,718.01321,718.01321,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-116-927f9a89,117,0.578183589,99.23737,944.525865,944.525865,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-117-7b62a082,118,0.653608238,100.092128,1038.761238,1038.761238,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-118-67312cd8,119,0.332168425,100.946886,1277.742965,1277.742965,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-119-13395d0a,120,0.279453932,101.801643,1298.764444,1298.764444,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-120-6e73f800,121,0.691726431,102.656401,850.939718,850.939718,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-121-de945472,122,0.449935743,103.511159,1154.559978,1154.559978,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-122-b87d5a7d,123,0.392164416,104.365916,1250.463953,1250.463953,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-123-b4d644dd,124,0.593021611,105.220674,1042.492073,1042.492073,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-124-e14d9a9b,125,0.64692753,106.075432,986.149209,986.149209,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-125-9e01c224,126,0.186785144,106.93019,1303.902643,1303.902643,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-126-e37318f5,127,0.428307895,107.784947,1270.226943,1270.226943,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-127-6e85e449,128,0.901010563,108.639705,498.247477,498.247477,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-128-09571942,129,0.607940621,109.494463,1118.61129,1118.61129,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-129-2c4028d3,130,0.454549503,110.34922,1212.543776,1212.543776,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-130-706fee78,131,0.799454237,111.203978,588.569784,588.569784,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-131-12d412a7,132,0.561106887,112.058736,1171.414443,1171.414443,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-132-1ef7fe99,133,0.607549195,112.913494,1169.473485,1169.473485,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-133-888072a8,134,0.552188559,113.768251,1119.508805,1119.508805,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-134-21dcbca1,135,0.708172842,114.623009,760.115317,760.115317,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-135-5b2d0009,136,0.578960241,115.477767,1219.92791,1219.92791,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-136-664d00e9,137,0.653343795,116.332524,998.153993,998.153993,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-137-09bab1e5,138,0.466437367,117.187282,1237.6825,1237.6825,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-138-7a1ed322,139,0.667769549,118.04204,925.836327,925.836327,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-139-b13dafd9,140,0.615621725,118.896798,842.254005,842.254005,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-140-3d24e8f1,141,0.648764803,119.751555,1127.020153,1127.020153,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-141-f387dd24,142,0.856415208,120.606313,550.531228,550.531228,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-142-15d4fc05,143,0.296138458,121.461071,1289.234331,1289.234331,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-143-0a513c6f,144,0.302652765,122.315828,1272.18971,1272.18971,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-144-654bcf2d,145,0.258484522,123.170586,1291.907198,1291.907198,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-145-9b0b97ef,146,0.53665104,124.025344,1157.021144,1157.021144,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-146-3597c702,147,0.50153091,124.880102,1144.259578,1144.259578,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-147-84a75dd3,148,0.659671069,125.734859,1206.974738,1206.974738,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-148-095f7a2e,149,0.54118501,126.589617,1230.17528,1230.17528,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-149-33f7e4b5,150,0.22068883,127.444375,1299.46852,1299.46852,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-150-c111b543,151,0.521325193,128.299132,1235.143102,1235.143102,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-151-e0e9bb33,152,0.549153242,129.15389,1035.97369,1035.97369,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-152-4f125415,153,0.704471477,130.008648,946.258589,946.258589,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-153-8e0e86e5,154,0.49736397,130.863406,1238.76726,1238.76726,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-154-c82de92e,155,0.342206208,131.718163,1275.438908,1275.438908,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-155-b2937f5b,156,0.568330992,132.572921,1174.448947,1174.448947,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-156-6fd71d38,157,0.478156885,133.427679,1240.699322,1240.699322,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-157-6c4bfe7a,158,0.575706591,134.282436,1082.918275,1082.918275,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-158-1959c4fb,159,0.682568295,135.137194,759.871102,759.871102,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-159-b2ff5ba7,160,0.458740927,135.991952,1243.256515,1243.256515,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-160-5abf716f,161,0.589501253,136.846709,1039.862032,1039.862032,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-161-04630ea2,162,0.633255215,137.701467,910.260428,910.260428,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-162-676b9d7b,163,0.205812415,138.556225,1296.495244,1296.495244,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-163-90f2ace5,164,0.593088616,139.410983,1093.320458,1093.320458,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-164-f0578732,165,0.697713932,140.26574,1014.492453,1014.492453,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-165-0f4342fa,166,0.760563816,141.120498,730.83265,730.83265,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-166-e044ca0c,167,0.842625552,141.975256,601.294518,601.294518,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-167-a6e15368,168,0.661274198,142.830013,880.096636,880.096636,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-168-beb1f8b9,169,0.401974496,143.684771,1187.979497,1187.979497,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-169-77b26720,170,0.766258591,144.539529,879.436855,879.436855,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-170-eb524240,171,0.510765073,145.394287,1051.924529,1051.924529,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-171-e2a91836,172,0.675699539,146.249044,832.804853,832.804853,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-172-46ec5a13,173,0.806130288,147.103802,638.626913,638.626913,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-173-a74cbdae,174,0.540558982,147.95856,1063.506883,1063.506883,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-174-711a3a52,175,0.766920623,148.813317,722.729575,722.729575,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-175-1c042de1,176,0.618258495,149.668075,903.863817,903.863817,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-176-ad057015,177,0.468323109,150.522833,1209.120849,1209.120849,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-177-94fca623,178,0.73420346,151.377591,1019.815513,1019.815513,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-178-ffc70465,179,0.688560088,152.232348,1132.280323,1132.280323,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-179-f8574ef7,180,0.478757196,153.087106,1080.830634,1080.830634,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-180-abb701a4,181,0.207227465,153.941864,1299.334868,1299.334868,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-181-339c92f5,182,0.417496917,154.796621,1267.149717,1267.149717,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-182-ea79edcc,183,0.482833083,155.651379,1225.258931,1225.258931,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-183-b2188232,184,0.415903154,156.506137,1257.383444,1257.383444,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-184-ef61f337,185,0.624951161,157.360895,1190.668779,1190.668779,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-185-7bd14a82,186,0.757323072,158.215652,925.955369,925.955369,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-186-bb495590,187,0.537663956,159.07041,1121.012292,1121.012292,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-187-8326824d,188,0.535549761,159.925168,1050.758555,1050.758555,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-188-a315eabd,189,0.417232144,160.779925,1225.162113,1225.162113,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-189-166e85c5,190,0.319975266,161.634683,1280.815492,1280.815492,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-190-6e8c97f1,191,0.479257304,162.489441,1146.187883,1146.187883,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-191-c23ece8f,192,0.685019472,163.344199,1104.60501,1104.60501,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-192-72251142,193,0.581786734,164.198956,948.494265,948.494265,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-193-354ea1c1,194,0.644867364,165.053714,1035.157418,1035.157418,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-194-1d536a50,195,0.615608502,165.908472,1194.979322,1194.979322,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-195-592c4a1a,196,0.241211593,166.763229,1299.31594,1299.31594,0.854757711,optimistic-synthetic-what-if-not-measured,
